tipo,slug_articolo,categoria,titolo_articolo,nome_file,percorso_finale,dimensioni,brief
"copertina","recupero-crediti-edilizia","Imprese","Come recuperare un credito da un cliente che non paga i lavori","recupero-crediti-edilizia-cover.jpg","public/images/guide/recupero-crediti-edilizia-cover.jpg","1600x900 (16:9)","Fascicolo di cantiere aperto sulla scrivania: contratto d'appalto, SAL controfirmati e fatture"
"interna","recupero-crediti-edilizia","Imprese","Come recuperare un credito da un cliente che non paga i lavori","recupero-crediti-edilizia-1.jpg","public/images/guide/recupero-crediti-edilizia-1.jpg","1600x900 (16:9)","Fascicolo di cantiere aperto sulla scrivania: contratto d'appalto, SAL controfirmati e fatture"
"interna","recupero-crediti-edilizia","Imprese","Come recuperare un credito da un cliente che non paga i lavori","recupero-crediti-edilizia-2.jpg","public/images/guide/recupero-crediti-edilizia-2.jpg","1600x900 (16:9)","Verbale di fine lavori firmato dal committente senza riserve"
"copertina","difetti-costruttivi-casa-nuova","Privati","Difetti costruttivi in una casa nuova: cosa puoi pretendere e quanto tempo hai","difetti-costruttivi-casa-nuova-cover.jpg","public/images/guide/difetti-costruttivi-casa-nuova-cover.jpg","1600x900 (16:9)","Crepa su una parete perimetrale di un appartamento nuovo, con macchia di umidità"
"interna","difetti-costruttivi-casa-nuova","Privati","Difetti costruttivi in una casa nuova: cosa puoi pretendere e quanto tempo hai","difetti-costruttivi-casa-nuova-1.jpg","public/images/guide/difetti-costruttivi-casa-nuova-1.jpg","1600x900 (16:9)","Crepa su una parete perimetrale di un appartamento nuovo, con macchia di umidità"
"interna","difetti-costruttivi-casa-nuova","Privati","Difetti costruttivi in una casa nuova: cosa puoi pretendere e quanto tempo hai","difetti-costruttivi-casa-nuova-2.jpg","public/images/guide/difetti-costruttivi-casa-nuova-2.jpg","1600x900 (16:9)","Tecnico che esegue un rilievo con termocamera in un appartamento"
"copertina","annullare-contratto-impresa-edile","Privati","Come annullare un contratto con un'azienda edile: le cinque strade e quale scegliere","annullare-contratto-impresa-edile-cover.jpg","public/images/guide/annullare-contratto-impresa-edile-cover.jpg","1600x900 (16:9)","Contratto di ristrutturazione firmato sul tavolo di casa, con il plico dei documenti"
"interna","annullare-contratto-impresa-edile","Privati","Come annullare un contratto con un'azienda edile: le cinque strade e quale scegliere","annullare-contratto-impresa-edile-1.jpg","public/images/guide/annullare-contratto-impresa-edile-1.jpg","1600x900 (16:9)","Contratto di ristrutturazione firmato sul tavolo di casa, con il plico dei documenti"
"interna","annullare-contratto-impresa-edile","Privati","Come annullare un contratto con un'azienda edile: le cinque strade e quale scegliere","annullare-contratto-impresa-edile-2.jpg","public/images/guide/annullare-contratto-impresa-edile-2.jpg","1600x900 (16:9)","Appartamento vuoto prima dell'inizio dei lavori"
"copertina","accertamento-superbonus-imprese","Tributario","Accertamento Superbonus all'impresa: come si costruisce la difesa","accertamento-superbonus-imprese-cover.jpg","public/images/guide/accertamento-superbonus-imprese-cover.jpg","1600x900 (16:9)","Ponteggio su un condominio con cappotto termico in lavorazione"
"interna","accertamento-superbonus-imprese","Tributario","Accertamento Superbonus all'impresa: come si costruisce la difesa","accertamento-superbonus-imprese-1.jpg","public/images/guide/accertamento-superbonus-imprese-1.jpg","1600x900 (16:9)","Ponteggio su un condominio con cappotto termico in lavorazione"
"interna","accertamento-superbonus-imprese","Tributario","Accertamento Superbonus all'impresa: come si costruisce la difesa","accertamento-superbonus-imprese-2.jpg","public/images/guide/accertamento-superbonus-imprese-2.jpg","1600x900 (16:9)","Atto di recupero dell'Agenzia delle Entrate con la data di notifica in evidenza"
"copertina","contratto-appalto-impresa","Imprese","Il contratto d'appalto che protegge l'impresa: le dodici clausole che contano","contratto-appalto-impresa-cover.jpg","public/images/guide/contratto-appalto-impresa-cover.jpg","1600x900 (16:9)","Contratto d'appalto sul tavolo, penna appoggiata sulla pagina delle clausole"
"interna","contratto-appalto-impresa","Imprese","Il contratto d'appalto che protegge l'impresa: le dodici clausole che contano","contratto-appalto-impresa-1.jpg","public/images/guide/contratto-appalto-impresa-1.jpg","1600x900 (16:9)","Contratto d'appalto sul tavolo, penna appoggiata sulla pagina delle clausole"
"interna","contratto-appalto-impresa","Imprese","Il contratto d'appalto che protegge l'impresa: le dodici clausole che contano","contratto-appalto-impresa-2.jpg","public/images/guide/contratto-appalto-impresa-2.jpg","1600x900 (16:9)","Due contratti a confronto, uno generico e uno con le clausole di tutela evidenziate"
"copertina","impresa-sparita-cantiere-abbandonato","Privati","L'impresa ha abbandonato il cantiere: i cinque passi nell'ordine giusto","impresa-sparita-cantiere-abbandonato-cover.jpg","public/images/guide/impresa-sparita-cantiere-abbandonato-cover.jpg","1600x900 (16:9)","Cantiere domestico abbandonato: impianti a metà, materiali fermi, nessun operaio"
"interna","impresa-sparita-cantiere-abbandonato","Privati","L'impresa ha abbandonato il cantiere: i cinque passi nell'ordine giusto","impresa-sparita-cantiere-abbandonato-1.jpg","public/images/guide/impresa-sparita-cantiere-abbandonato-1.jpg","1600x900 (16:9)","Cantiere domestico abbandonato: impianti a metà, materiali fermi, nessun operaio"
"interna","impresa-sparita-cantiere-abbandonato","Privati","L'impresa ha abbandonato il cantiere: i cinque passi nell'ordine giusto","impresa-sparita-cantiere-abbandonato-2.jpg","public/images/guide/impresa-sparita-cantiere-abbandonato-2.jpg","1600x900 (16:9)","Tecnico che redige il rilievo dello stato dei luoghi con macchina fotografica e metro"
"copertina","sal-non-pagato","Imprese","SAL non pagato: posso sospendere i lavori senza rischiare?","sal-non-pagato-cover.jpg","public/images/guide/sal-non-pagato-cover.jpg","1600x900 (16:9)","Cantiere con lavorazioni a metà e materiali accatastati, fermo"
"interna","sal-non-pagato","Imprese","SAL non pagato: posso sospendere i lavori senza rischiare?","sal-non-pagato-1.jpg","public/images/guide/sal-non-pagato-1.jpg","1600x900 (16:9)","Cantiere con lavorazioni a metà e materiali accatastati, fermo"
"interna","sal-non-pagato","Imprese","SAL non pagato: posso sospendere i lavori senza rischiare?","sal-non-pagato-2.jpg","public/images/guide/sal-non-pagato-2.jpg","1600x900 (16:9)","PEC di costituzione in mora stampata, con il termine evidenziato"
"copertina","subappaltatore-non-pagato","Imprese","Subappaltatore non pagato: perché l'art. 1676 non ti serve e cosa funziona davvero","subappaltatore-non-pagato-cover.jpg","public/images/guide/subappaltatore-non-pagato-cover.jpg","1600x900 (16:9)","Struttura metallica montata in cantiere da un'impresa subappaltatrice"
"interna","subappaltatore-non-pagato","Imprese","Subappaltatore non pagato: perché l'art. 1676 non ti serve e cosa funziona davvero","subappaltatore-non-pagato-1.jpg","public/images/guide/subappaltatore-non-pagato-1.jpg","1600x900 (16:9)","Struttura metallica montata in cantiere da un'impresa subappaltatrice"
"interna","subappaltatore-non-pagato","Imprese","Subappaltatore non pagato: perché l'art. 1676 non ti serve e cosa funziona davvero","subappaltatore-non-pagato-2.jpg","public/images/guide/subappaltatore-non-pagato-2.jpg","1600x900 (16:9)","Contratto di subappalto aperto sulla clausola dei pagamenti"
"copertina","committente-contesta-i-lavori","Imprese","Il cliente contesta i lavori per non pagare: come si smonta la contestazione pretestuosa","committente-contesta-i-lavori-cover.jpg","public/images/guide/committente-contesta-i-lavori-cover.jpg","1600x900 (16:9)","Dettaglio di una finitura contestata, con metro e livella appoggiati"
"interna","committente-contesta-i-lavori","Imprese","Il cliente contesta i lavori per non pagare: come si smonta la contestazione pretestuosa","committente-contesta-i-lavori-1.jpg","public/images/guide/committente-contesta-i-lavori-1.jpg","1600x900 (16:9)","Dettaglio di una finitura contestata, con metro e livella appoggiati"
"interna","committente-contesta-i-lavori","Imprese","Il cliente contesta i lavori per non pagare: come si smonta la contestazione pretestuosa","committente-contesta-i-lavori-2.jpg","public/images/guide/committente-contesta-i-lavori-2.jpg","1600x900 (16:9)","Verbale di consegna dei lavori firmato, in primo piano la riga delle riserve"
"copertina","durc-irregolare","Imprese","DURC irregolare: come sbloccare pagamenti e gare prima che sia tardi","durc-irregolare-cover.jpg","public/images/guide/durc-irregolare-cover.jpg","1600x900 (16:9)","Cantiere fermo con nastro di delimitazione e mezzi inattivi"
"interna","durc-irregolare","Imprese","DURC irregolare: come sbloccare pagamenti e gare prima che sia tardi","durc-irregolare-1.jpg","public/images/guide/durc-irregolare-1.jpg","1600x900 (16:9)","Cantiere fermo con nastro di delimitazione e mezzi inattivi"
"interna","durc-irregolare","Imprese","DURC irregolare: come sbloccare pagamenti e gare prima che sia tardi","durc-irregolare-2.jpg","public/images/guide/durc-irregolare-2.jpg","1600x900 (16:9)","Preavviso di accertamento negativo con la data di ricezione in evidenza"
